Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Full_name
EMP1000,Bob,DAVIS,25.0,devops-california,Active,2021-04-02,59767.65,bob.davis@example.com,-1651623197,Average,True,Bob DAVIS
EMP1003,Eva,DAVIS,25.0,admin-nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,-3476490784,Good,True,Eva DAVIS
EMP1004,Frank,WILLIAMS,25.0,cloud tech-florida,Active,2022-01-05,109324.61,frank.williams@example.com,-1586734256,Poor,False,Frank WILLIAMS
EMP1005,Alice,GARCIA,40.0,sales-texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,-5409003485,Good,False,Alice GARCIA
EMP1007,Bob,JONES,30.0,cloud tech-florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,-4134327559,Average,True,Bob JONES
EMP1008,Frank,DAVIS,35.0,admin-nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,-4177656123,Excellent,True,Frank DAVIS
EMP1010,David,WILLIAMS,35.0,cloud tech-new york,Active,2024-07-06,72081.71,david.williams@example.com,-2720634590,Average,False,David WILLIAMS
EMP1012,Heidi,WILLIAMS,30.0,hr-new york,Active,2024-03-05,89295.77,heidi.williams@example.com,-2429543164,Excellent,False,Heidi WILLIAMS
EMP1014,Alice,GARCIA,25.0,admin-nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,-1734206968,Excellent,True,Alice GARCIA
EMP1015,Grace,JONES,40.0,sales-florida,Pending,2021-05-29,117975.49,grace.jones@example.com,-4215291085,Good,True,Grace JONES
EMP1016,Alice,BROWN,25.0,devops-illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,-7713334475,Poor,False,Alice BROWN
EMP1017,Grace,GARCIA,30.0,finance-texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,-2639343625,Average,True,Grace GARCIA
EMP1019,Charlie,WILLIAMS,35.0,admin-illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,-7107256365,Average,True,Charlie WILLIAMS
EMP1020,Bob,MILLER,35.0,hr-new york,Active,2021-05-08,111460.67,bob.miller@example.com,-9411800536,Excellent,True,Bob MILLER
EMP1021,Bob,JONES,40.0,cloud tech-illinois,Active,2020-09-19,96182.56,bob.jones@example.com,-5990048963,Good,False,Bob JONES
EMP1022,Charlie,JOHNSON,35.0,sales-illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,-6528092427,Average,True,Charlie JOHNSON
EMP1023,David,GARCIA,35.0,finance-nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,-7572158623,Excellent,False,David GARCIA
EMP1024,Bob,BROWN,30.0,admin-texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,-1502745643,Good,True,Bob BROWN
EMP1025,David,MILLER,25.0,cloud tech-nevada,Pending,2020-04-30,66025.92,david.miller@example.com,-9485625727,Average,False,David MILLER
EMP1026,Frank,MILLER,25.0,sales-new york,Inactive,2023-10-02,83979.01,frank.miller@example.com,-7032032073,Average,False,Frank MILLER
EMP1027,Heidi,JOHNSON,30.0,finance-florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,-2761707586,Excellent,True,Heidi JOHNSON
EMP1028,Grace,GARCIA,40.0,finance-nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,-7712151341,Excellent,False,Grace GARCIA
EMP1029,Alice,BROWN,40.0,devops-california,Active,2021-05-24,63411.31,alice.brown@example.com,-2849939088,Excellent,True,Alice BROWN
EMP1030,Charlie,JONES,40.0,admin-california,Inactive,2021-05-26,111214.02,charlie.jones@example.com,-2613715040,Good,True,Charlie JONES
EMP1031,Bob,SMITH,25.0,devops-illinois,Active,2020-07-10,114845.69,bob.smith@example.com,-6591520176,Excellent,True,Bob SMITH
EMP1032,Charlie,BROWN,40.0,finance-florida,Active,2024-11-05,78072.82,charlie.brown@example.com,-7490509758,Average,False,Charlie BROWN
EMP1033,Grace,JOHNSON,25.0,finance-california,Inactive,2021-08-07,79610.52,grace.johnson@example.com,-2304501895,Average,False,Grace JOHNSON
EMP1034,Heidi,MILLER,30.0,admin-california,Active,2020-04-29,90542.62,heidi.miller@example.com,-1642361031,Excellent,True,Heidi MILLER
EMP1035,Frank,JONES,25.0,cloud tech-illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,-6642147648,Excellent,True,Frank JONES
EMP1037,Grace,SMITH,25.0,sales-new york,Pending,2023-05-02,52781.92,grace.smith@example.com,-4996165925,Average,True,Grace SMITH
EMP1038,Frank,SMITH,35.0,admin-nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,-6108573277,Good,True,Frank SMITH
EMP1039,Eva,WILLIAMS,40.0,hr-texas,Active,2022-07-27,93481.15,eva.williams@example.com,-8147617421,Poor,False,Eva WILLIAMS
